0,291,1
0,299,1
0,372,1
0,378,1
0,516,1
0,522,1
0,544,1
0,795,1
0,809,1
0,1194,1
0,1330,1
0,1336,1
0,1412,1
0,1504,1
0,1573,1
0,1588,1
0,1748,1
0,1821,1
0,2118,1
0,2216,1
0,2350,1
0,2382,1
0,2401,1
0,7424,0
0,7588,0
1,0,1
1,2,1
1,12,1
1,13,1
1,15,1
1,17,1
1,94,1
1,110,1
1,138,1
1,187,1
1,199,1
1,218,1
1,250,1
1,256,1
1,262,1
1,267,1
1,317,1
1,401,1
1,419,1
1,468,1
1,531,1
1,561,1
1,766,1
1,861,1
1,1690,1
1,5341,1
1,7399,1
1,7400,1
1,7481,0
1,7499,0
1,7582,0
2,28,1
2,30,1
2,115,1
2,161,1
2,246,1
2,637,1
2,885,1
2,7524,1
3,0,1
3,1,1
3,25,1
3,34,1
3,144,1
3,379,1
3,520,1
3,625,1
3,1024,1
3,1321,1
3,1633,1
3,1690,1
3,7326,1
3,7400,1
3,7551,1
4,1,1
4,2,1
4,45,1
4,254,0
4,261,1
4,313,0
4,337,0
4,383,0
4,415,0
4,758,0
4,945,0
4,978,1
4,1175,0
4,1358,1
4,2335,0
4,2407,0
4,3132,0
4,3515,0
4,7405,0
4,7422,0
4,7432,0
4,7456,0
4,7478,0
4,7484,0
4,7502,0
4,7515,0
4,7520,0
4,7521,0
4,7531,0
4,7543,0
4,7549,0
4,7558,0
4,7574,0
4,7584,0
5,2,1
5,4,1
5,38,1
5,40,1
5,42,1
5,137,1
5,161,1
5,637,1
5,641,1
5,1068,1
5,1177,1
5,1559,1
5,1864,1
5,3228,1
5,7550,1
5,7551,0
5,7603,0
6,1,1
6,2,1
6,5,1
6,33,1
6,40,1
6,144,1
6,176,0
6,243,0
6,329,1
6,406,1
6,535,0
6,595,1
6,649,1
6,795,1
6,809,1
6,1316,1
6,1521,1
6,7397,0
6,7424,0
6,7482,0
6,7483,0
6,7503,0
6,7504,0
6,7505,0
6,7515,0
6,7534,0
6,7539,0
6,7553,0
6,7557,0
6,7567,0
6,7590,0
7,1,1
7,2,1
7,4,1
7,5,1
7,6,1
7,23,1
7,33,1
7,58,1
7,77,0
7,104,1
7,106,0
7,117,1
7,119,1
7,127,1
7,129,0
7,147,0
7,188,0
7,203,0
7,213,0
7,224,0
7,228,0
7,267,0
7,308,0
7,316,0
7,330,0
7,334,1
7,346,0
7,371,0
7,381,0
7,392,0
7,394,0
7,400,0
7,426,0
7,518,0
7,526,0
7,527,1
7,546,0
7,584,0
7,590,0
7,592,0
7,596,0
7,598,0
7,601,0
7,649,0
7,701,0
7,706,0
7,738,0
7,751,0
7,811,0
7,878,0
7,968,0
7,982,1
7,1042,0
7,1178,0
7,1345,0
7,1578,0
7,1583,0
7,1690,1
7,1793,0
7,1855,0
7,1864,1
7,1882,0
7,2383,1
7,2388,1
7,2394,0
7,2407,1
7,5445,0
7,5678,0
7,6791,0
7,7411,0
7,7422,0
7,7484,0
7,7506,0
7,7511,0
7,7557,0
7,7566,0
7,7574,0
7,7596,0
8,0,1
8,1,1
8,3,1
8,29,1
8,34,1
8,59,1
8,110,1
8,233,1
8,286,0
8,442,1
8,517,1
8,548,1
8,686,1
8,1285,1
8,1291,0
8,1469,1
8,1725,1
8,2138,1
8,2140,1
8,7333,0
8,7387,1
8,7533,0
8,7549,1
8,7567,0
8,7599,0
8,7600,0
8,7601,0
9,0,1
9,1,1
9,2,1
9,3,1
9,7,1
9,40,1
9,112,0
9,116,0
9,136,1
9,144,1
9,216,1
9,270,1
9,612,0
9,966,1
9,7551,1
10,0,1
10,1,1
10,2,1
10,3,1
10,4,1
10,5,1
