7,244,1,105,51,29,4,132,54,5,181,0.03
7,542,0,105,198,29,5,132,201,4,329,0.01
7,772,1,105,35,29,9,132,44,2,174,0.01
7,774,1,105,32,29,0,132,32,3,161,0.02
7,776,1,105,51,29,187,132,217,7,342,0.02
7,778,1,105,18,29,22,132,36,3,165,0.02
7,779,1,105,64,29,31,132,94,11,215,0.05
7,780,1,105,265,29,14,132,279,7,404,0.02
7,781,1,105,44,29,4,132,48,6,174,0.03
7,782,1,105,9,29,21,132,25,1,156,0.01
7,783,1,105,7,29,35,132,40,3,169,0.02
7,787,1,105,180,29,4,132,184,17,299,0.06
7,788,1,105,6,29,0,132,6,3,135,0.02
7,790,1,105,101,29,0,132,101,13,220,0.06
7,791,0,105,22,29,0,132,22,1,153,0.01
7,795,0,105,298,29,2,132,300,4,428,0.01
7,797,0,105,22,29,4,132,24,1,155,0.01
13,1249,1,56,90,15,8,70,95,2,163,0.01
13,1256,1,56,16,15,37,70,38,2,106,0.02
35,180,1,369,157,25,342,380,367,26,721,0.04
35,182,1,369,35,25,62,380,89,3,466,0.01
35,183,1,369,88,25,99,380,105,19,466,0.04
35,184,1,369,8,25,8,380,14,2,392,0.01
35,186,1,369,3,25,2,380,3,1,382,0.00
35,187,1,369,15,25,10,380,19,4,395,0.01
35,188,1,369,4,25,6,380,7,1,386,0.00
35,189,1,369,4,25,9,380,11,2,389,0.01
35,190,1,369,20,25,11,380,24,4,400,0.01
35,191,1,369,1591,25,400,380,1861,91,2150,0.04
35,192,1,369,29,25,102,380,126,3,503,0.01
35,194,1,369,67,25,68,380,122,11,491,0.02
37,191,1,96,1591,15,400,107,1861,14,1954,0.01
37,1417,0,96,407,15,185,107,558,9,656,0.01
37,8416,1,96,6,15,0,107,6,1,112,0.01
96,182,1,52,35,27,62,73,89,1,161,0.01
96,324,1,52,54,27,57,73,103,2,174,0.01
96,542,1,52,198,27,5,73,201,6,268,0.02
96,911,0,52,993,27,2,73,994,21,1046,0.02
96,927,1,52,82,27,53,73,127,4,196,0.02
96,1264,1,52,91,27,61,73,136,3,206,0.01
96,1417,0,52,407,27,185,73,558,12,619,0.02
96,2358,1,52,281,27,201,73,442,9,506,0.02
96,3069,1,52,75,27,46,73,119,3,189,0.02
96,3642,1,52,202,27,202,73,377,11,439,0.03
96,3970,1,52,105,27,17,73,120,3,190,0.02
96,5468,1,52,81,27,53,73,130,3,200,0.02
96,13032,1,52,11,27,0,73,11,2,82,0.03
96,26607,1,52,34,27,18,73,49,2,120,0.02
97,524,1,192,39,149,0,315,39,3,351,0.01
97,574,1,192,123,149,15,315,134,5,444,0.01
97,630,1,192,225,149,48,315,271,27,559,0.05
97,1052,1,192,1012,149,18,315,1024,28,1311,0.02
97,1139,1,192,50,149,77,315,124,5,434,0.01
97,1251,1,192,147,149,35,315,173,14,474,0.03
97,1289,1,192,48,149,49,315,86,5,396,0.01
97,1332,1,192,246,149,188,315,406,33,688,0.05
97,1361,1,192,147,149,15,315,159,9,465,0.02
97,1364,1,192,155,149,0,315,155,6,464,0.01
97,1414,1,192,33,149,1,315,34,1,348,0.00
97,1417,1,192,407,149,185,315,558,50,823,0.06
97,1418,1,192,69,149,71,315,130,12,433,0.03
97,1539,1,192,42,149,28,315,68,4,379,0.01
97,1804,1,192,26,149,0,315,26,3,338,0.01
97,2116,1,192,26,149,17,315,39,4,350,0.01
97,2820,1,192,208,149,1,315,209,26,498,0.05
97,2936,1,192,177,149,4,315,180,25,470,0.05
97,3217,1,192,513,149,213,315,620,51,884,0.06
97,3490,1,192,57,149,0,315,57,5,367,0.01
97,4387,1,192,222,149,196,315,375,29,661,0.04
97,4535,1,192,10,149,2,315,12,3,324,0.01
97,4550,1,192,33,149,33,315,62,4,373,0.01
97,4578,1,192,28,149,1,315,29,1,343,0.00
97,4592,1,192,108,149,77,315,177,12,480,0.03
97,4704,1,192,17,149,37,315,47,2,360,0.01
97,4759,1,192,103,149,186,315,266,17,564,0.03
97,5099,1,192,138,149,0,315,138,6,447,0.01
97,5234,1,192,32,149,102,315,121,12,424,0.03
97,5497,1,192,83,149,0,315,83,9,389,0.02
97,6245,1,192,117,149,201,315,239,4,550,0.01
97,6872,1,192,82,149,0,315,82,9,388,0.02
97,7008,1,192,44,149,0,315,44,3,356,0.01
97,8109,1,192,174,149,99,315,216,19,512,0.04
97,9004,1,192,61,149,0,315,61,6,370,0.02
97,9239,1,192,38,149,0,315,38,1,352,0.00
97,9359,1,192,160,149,46,315,191,25,481,0.05
97,9459,1,192,99,149,0,315,99,10,404,0.02
97,9624,1,192,38,149,46,315,80,5,390,0.01
97,9764,1,192,10,149,1,315,11,1,325,0.00
97,10176,1,192,91,149,23,315,105,14,406,0.03
97,10608,1,192,55,149,16,315,68,11,372,0.03
97,10743,1,192,32,149,0,315,32,1,346,0.00
97,11958,1,192,58,149,0,315,58,7,366,0.02
97,12381,1,192,70,149,13,315,72,1,386,0.00
97,12459,1,192,34,149,0,315,34,4,345,0.01
97,12468,1,192,32,149,3,315,34,1,348,0.00
97,14181,1,192,7,149,1,315,8,3,320,0.01
97,14471,1,192,73,149,73,315,117,18,414,0.04
97,14629,1,192,33,149,18,315,46,3,358,0.01
97,15947,1,192,30,149,23,315,48,7,356,0.02
97,16218,1,192,58,149,5,315,63,9,369,0.02
97,16559,1,192,15,149,69,315,83,6,392,0.02
97,22038,1,192,10,149,0,315,10,3,322,0.01
97,23006,1,192,5,149,2,315,7,1,321,0.00
97,23661,1,192,9,149,1,315,10,2,323,0.01
97,23796,1,192,5,149,12,315,14,2,327,0.01
97,25145,1,192,18,149,10,315,27,3,339,0.01
97,26621,1,192,17,149,8,315,23,4,334,0.01
97,26623,1,192,16,149,0,315,16,3,328,0.01
