105653,105654,1,15,6,5,16,6,3,2,1.0952
105653,210737,1,15,6,5,16,6,6,5,1.0952
105653,210738,1,15,5,4,16,6,5,4,1.2952
105653,210739,1,15,5,4,16,6,5,4,1.2952
105653,211813,1,15,5,4,16,6,5,4,1.2952
105653,211814,1,15,9,8,16,6,6,5,0.8786
105654,210737,1,6,6,2,10,3,6,2,1.6000
105654,210738,0,6,5,3,8,3,5,3,1.8000
105654,210739,0,6,5,3,8,3,5,3,1.8000
105654,211813,0,6,5,3,8,3,5,3,1.8000
105654,211814,1,6,9,5,10,3,6,2,1.3833
210737,210738,1,6,5,4,7,6,5,4,1.8000
210737,210739,1,6,5,4,7,6,5,4,1.8000
210737,211813,1,6,5,4,7,6,5,4,1.8000
210737,211814,1,6,9,5,10,6,6,5,1.3833
210738,210739,1,5,5,4,6,5,5,4,2.0000
210738,211813,1,5,5,4,6,5,5,4,2.0000
210738,211814,1,5,9,4,10,5,6,4,1.5833
210739,211813,1,5,5,4,6,5,5,4,2.0000
210739,211814,1,5,9,4,10,5,6,4,1.5833
211813,211814,1,5,9,4,10,5,6,4,1.5833
53599,69449,0,53,33,1,85,5,5,0,0.1837
53599,115973,1,53,15,6,62,5,5,4,0.2776
53599,135447,0,53,16,2,67,5,5,0,0.3110
53599,198973,0,53,6,0,59,5,4,0,0.5443
53599,231501,1,53,5,4,54,5,5,4,1.0776
53599,258663,1,53,8,4,57,5,8,4,0.5419
53599,258664,1,53,12,11,54,5,5,4,0.7746
53599,258878,0,53,8,0,61,5,8,0,0.6491
53599,258879,0,53,6,0,59,5,6,0,1.0776
53599,258880,0,53,6,0,59,5,6,0,1.0776
53599,258881,0,53,8,1,60,5,8,1,0.7919
53599,258882,0,53,7,0,60,5,7,0,0.9348
53599,258883,0,53,8,1,60,5,8,1,0.7919
53599,268226,0,53,9,0,62,5,4,0,0.5499
53599,273534,0,53,4,0,57,5,4,0,1.0776
53599,278033,0,53,5,0,58,5,4,0,0.8776
53599,278127,1,53,13,12,54,5,5,4,0.6802
53599,284825,0,53,8,1,60,5,8,1,0.7919
69449,115973,0,33,15,0,48,5,5,0,0.3061
69449,135447,1,33,16,11,38,5,5,4,0.3394
69449,198973,1,33,6,3,36,5,4,3,0.5727
69449,231501,0,33,5,0,38,5,5,0,1.1061
69449,258663,0,33,8,0,41,5,8,0,0.5703
69449,258664,0,33,12,1,44,5,5,0,0.8030
69449,258878,1,33,8,1,40,5,8,1,0.6775
69449,258879,0,33,6,1,38,5,6,1,1.1061
69449,258880,0,33,6,1,38,5,6,1,1.1061
69449,258881,0,33,8,1,40,5,8,1,0.8203
69449,258882,0,33,7,1,39,5,7,1,0.9632
69449,258883,0,33,8,1,40,5,8,1,0.8203
